conditionId,ageBand,ageBandRuleId,supportLevel,automaticSupport,supportEventCount,historyContent,result
W24-C1,preschool,nuvia.age.preschool.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,preschool,nuvia.age.preschool.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,preschool,nuvia.age.preschool.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-low,nuvia.age.elementary-low.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-low,nuvia.age.elementary-low.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-low,nuvia.age.elementary-low.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-high,nuvia.age.elementary-high.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-high,nuvia.age.elementary-high.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,elementary-high,nuvia.age.elementary-high.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,middle-school,nuvia.age.middle-school.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,middle-school,nuvia.age.middle-school.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,middle-school,nuvia.age.middle-school.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,high-school,nuvia.age.high-school.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,high-school,nuvia.age.high-school.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,high-school,nuvia.age.high-school.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,adult,nuvia.age.adult.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,adult,nuvia.age.adult.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C1,adult,nuvia.age.adult.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,preschool,nuvia.age.preschool.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,preschool,nuvia.age.preschool.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,preschool,nuvia.age.preschool.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-low,nuvia.age.elementary-low.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-low,nuvia.age.elementary-low.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-low,nuvia.age.elementary-low.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-high,nuvia.age.elementary-high.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-high,nuvia.age.elementary-high.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,elementary-high,nuvia.age.elementary-high.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,middle-school,nuvia.age.middle-school.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,middle-school,nuvia.age.middle-school.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,middle-school,nuvia.age.middle-school.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,high-school,nuvia.age.high-school.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,high-school,nuvia.age.high-school.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,high-school,nuvia.age.high-school.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,adult,nuvia.age.adult.v1,1,핵심 강조,1,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,adult,nuvia.age.adult.v1,2,핵심 강조·선택지 분할,2,실제 콘텐츠 불변,자동 테스트 통과
W24-C2,adult,nuvia.age.adult.v1,3,핵심 강조·선택지 분할·짧은 단계·그림 안내,4,실제 콘텐츠 불변,자동 테스트 통과
