definitionKind,shortId,ageBand,displayPrompt,instructionText,questionId,missionId,conditionId,questionPurpose,mainSubjectId,mainObjectId,resourceId,changedAttribute,timePhase,cognitiveAction,expectedResponseType,expectedAnswerMeaning,allowedAnswerIds,forbiddenAnswerMeanings,sourceFactId,changedConditionId,outputTarget,ageBandRuleId,notApplicableReasons
coreSubquestion,W24-C1,preschool,무엇을 하려고 하나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.preschool.goal,gutenberg,gutenberg.c1,핵심 활동의 goal 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,goalId,목표 확인,"[""gutenberg.c1.goal.1""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.goalId,nuvia.age.preschool.v1,{}
coreSubquestion,W24-C1,preschool,먼저 어떤 인쇄 일을 생각했나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.preschool.before,gutenberg,gutenberg.c1,핵심 활동의 before 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,beforeResponseId,이 활동에서 실제로 고른 첫 계획,"[""gutenberg.c1.response.1"", ""gutenberg.c1.response.2"", ""gutenberg.c1.response.3""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.beforeResponseId,nuvia.age.preschool.v1,{}
coreSubquestion,W24-C1,preschool,처음 계획에서 무엇을 바꿀까요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.preschool.after,gutenberg,gutenberg.c1,핵심 활동의 after 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,"afterResponseId,decision",실제 수정 또는 유지,"[""gutenberg.c1.response.1"", ""gutenberg.c1.response.2"", ""gutenberg.c1.response.3"", ""keep"", ""change""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,"cognitiveActionRecorded.payload.afterResponseId,decision",nuvia.age.preschool.v1,{}
coreSubquestion,W24-C1,preschool,그렇게 고른 까닭은 무엇인가요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.preschool.reason,gutenberg,gutenberg.c1,핵심 활동의 reason 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,reasonRef,이유를 선택하거나 명시적으로 아직 모르겠어요를 선택; 원문 쓰기는 강요하지 않음,"[""gutenberg.c1.reason.1"", ""gutenberg.c1.reason.2"", ""gutenberg.c1.reason.3""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.reasonRef,nuvia.age.preschool.v1,{}
coreSubquestion,W24-C1,elementary-low,무엇을 하려고 하나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.goal,gutenberg,gutenberg.c1,핵심 활동의 goal 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,goalId,목표 확인,"[""gutenberg.c1.goal.1""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.goalId,nuvia.age.elementary-low.v1,{}
coreSubquestion,W24-C1,elementary-low,먼저 어떤 인쇄 일을 생각했나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.before,gutenberg,gutenberg.c1,핵심 활동의 before 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,beforeResponseId,이 활동에서 실제로 고른 첫 계획,"[""gutenberg.c1.response.1"", ""gutenberg.c1.response.2"", ""gutenberg.c1.response.3""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.beforeResponseId,nuvia.age.elementary-low.v1,{}
coreSubquestion,W24-C1,elementary-low,처음 계획에서 무엇을 바꿀까요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.after,gutenberg,gutenberg.c1,핵심 활동의 after 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,"afterResponseId,decision",실제 수정 또는 유지,"[""gutenberg.c1.response.1"", ""gutenberg.c1.response.2"", ""gutenberg.c1.response.3"", ""keep"", ""change""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,"cognitiveActionRecorded.payload.afterResponseId,decision",nuvia.age.elementary-low.v1,{}
coreSubquestion,W24-C1,elementary-low,그렇게 고른 까닭은 무엇인가요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.reason,gutenberg,gutenberg.c1,핵심 활동의 reason 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,reasonRef,이유를 선택하거나 명시적으로 아직 모르겠어요를 선택; 원문 쓰기는 강요하지 않음,"[""gutenberg.c1.reason.1"", ""gutenberg.c1.reason.2"", ""gutenberg.c1.reason.3""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.reasonRef,nuvia.age.elementary-low.v1,{}
coreSubquestion,W24-C1,elementary-high,무엇을 하려고 하나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.goal,gutenberg,gutenberg.c1,핵심 활동의 goal 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,goalId,목표 확인,"[""gutenberg.c1.goal.1""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.goalId,nuvia.age.elementary-high.v1,{}
coreSubquestion,W24-C1,elementary-high,먼저 어떤 인쇄 일을 생각했나요?,한 번에 이 질문 하나만 제시,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.before,gutenberg,gutenberg.c1,핵심 활동의 before 한 입력,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,duringAction,revisePlan,beforeResponseId,이 활동에서 실제로 고른 첫 계획,"[""gutenberg.c1.response.1"", ""gutenberg.c1.response.2"", ""gutenberg.c1.response.3""]","[""gutenberg.c1.prohibitedClaims"", ""질문에 없는 계획·근거·태도·정확성 생성"", ""응답 라벨을 나의 이야기로 저장""]",S1324-21,gutenberg.c1,cognitiveActionRecorded.payload.beforeResponseId,nuvia.age.elementary-high.v1,{}
