definitionKind,shortId,ageBand,displayPrompt,instructionText,questionId,missionId,conditionId,questionPurpose,mainSubjectId,mainObjectId,resourceId,changedAttribute,timePhase,cognitiveAction,expectedResponseType,expectedAnswerMeaning,allowedAnswerIds,forbiddenAnswerMeanings,sourceFactId,changedConditionId,outputTarget,ageBandRuleId,notApplicableReasons
optionalExtension,W24-C1,preschool,notApplicable,notApplicable,nuvia.semantic.v1_1_r2.w24-c1.preschool.optional-extension,gutenberg,gutenberg.c1,notApplicable,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,notApplicable,notApplicable,notApplicable,notApplicable,notApplicable,"[""화면 미제공""]",notApplicable,gutenberg.c1,notApplicable,nuvia.age.preschool.v1,"{""questionPurpose"": ""이 연령에는 추가 탐구 화면 미제공"", ""timePhase"": ""화면 미제공"", ""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""expectedResponseType"": ""화면 미제공"", ""expectedAnswerMeaning"": ""화면 미제공"", ""allowedAnswerIds"": ""화면 미제공"", ""sourceFactId"": ""화면 미제공"", ""outputTarget"": ""화면 미제공""}"
optionalExtension,W24-C1,elementary-low,notApplicable,notApplicable,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.optional-extension,gutenberg,gutenberg.c1,notApplicable,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,notApplicable,notApplicable,notApplicable,notApplicable,notApplicable,"[""화면 미제공""]",notApplicable,gutenberg.c1,notApplicable,nuvia.age.elementary-low.v1,"{""questionPurpose"": ""이 연령에는 추가 탐구 화면 미제공"", ""timePhase"": ""화면 미제공"", ""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""expectedResponseType"": ""화면 미제공"", ""expectedAnswerMeaning"": ""화면 미제공"", ""allowedAnswerIds"": ""화면 미제공"", ""sourceFactId"": ""화면 미제공"", ""outputTarget"": ""화면 미제공""}"
optionalExtension,W24-C1,elementary-high,남은 종이의 양 말고 무엇을 더 확인하고 싶나요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.optional-extension,gutenberg,gutenberg.c1,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c1,extensionRecorded 제안,nuvia.age.elementary-high.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
optionalExtension,W24-C1,middle-school,자료에서 종이 사본을 확인할 수 있는 부분은 어디인가요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c1.middle-school.optional-extension,gutenberg,gutenberg.c1,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c1,extensionRecorded 제안,nuvia.age.middle-school.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
optionalExtension,W24-C1,high-school,종이 양만으로 다음 인쇄 모습을 정할 수 없다는 이유는 무엇인가요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c1.high-school.optional-extension,gutenberg,gutenberg.c1,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c1,extensionRecorded 제안,nuvia.age.high-school.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
optionalExtension,W24-C1,adult,이 자료만으로 알 수 없는 인쇄 작업의 조건은 무엇인가요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c1.adult.optional-extension,gutenberg,gutenberg.c1,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c1.object,nuvia.semantic.ref.w24-c1.resource,인쇄용 종이의 가용량,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c1,extensionRecorded 제안,nuvia.age.adult.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
optionalExtension,W24-C2,preschool,notApplicable,notApplicable,nuvia.semantic.v1_1_r2.w24-c2.preschool.optional-extension,gutenberg,gutenberg.c2,notApplicable,learner,nuvia.semantic.ref.w24-c2.object,nuvia.semantic.ref.w24-c2.resource,직접 접근할 수 있는 사람 범위,notApplicable,notApplicable,notApplicable,notApplicable,notApplicable,"[""화면 미제공""]",notApplicable,gutenberg.c2,notApplicable,nuvia.age.preschool.v1,"{""questionPurpose"": ""이 연령에는 추가 탐구 화면 미제공"", ""timePhase"": ""화면 미제공"", ""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""expectedResponseType"": ""화면 미제공"", ""expectedAnswerMeaning"": ""화면 미제공"", ""allowedAnswerIds"": ""화면 미제공"", ""sourceFactId"": ""화면 미제공"", ""outputTarget"": ""화면 미제공""}"
optionalExtension,W24-C2,elementary-low,notApplicable,notApplicable,nuvia.semantic.v1_1_r2.w24-c2.elementary-low.optional-extension,gutenberg,gutenberg.c2,notApplicable,learner,nuvia.semantic.ref.w24-c2.object,nuvia.semantic.ref.w24-c2.resource,직접 접근할 수 있는 사람 범위,notApplicable,notApplicable,notApplicable,notApplicable,notApplicable,"[""화면 미제공""]",notApplicable,gutenberg.c2,notApplicable,nuvia.age.elementary-low.v1,"{""questionPurpose"": ""이 연령에는 추가 탐구 화면 미제공"", ""timePhase"": ""화면 미제공"", ""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""expectedResponseType"": ""화면 미제공"", ""expectedAnswerMeaning"": ""화면 미제공"", ""allowedAnswerIds"": ""화면 미제공"", ""sourceFactId"": ""화면 미제공"", ""outputTarget"": ""화면 미제공""}"
optionalExtension,W24-C2,elementary-high,함께 볼 수 있는지 더 확인할 조건은 무엇인가요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c2.elementary-high.optional-extension,gutenberg,gutenberg.c2,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c2.object,nuvia.semantic.ref.w24-c2.resource,직접 접근할 수 있는 사람 범위,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c2,extensionRecorded 제안,nuvia.age.elementary-high.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
optionalExtension,W24-C2,middle-school,책 사본 자료에서 확인할 수 있는 것은 무엇인가요?,원하면 이 질문 하나만 따로 생각해요.,nuvia.semantic.v1_1_r2.w24-c2.middle-school.optional-extension,gutenberg,gutenberg.c2,선택 탐구 한 가지,learner,nuvia.semantic.ref.w24-c2.object,nuvia.semantic.ref.w24-c2.resource,직접 접근할 수 있는 사람 범위,reflection,notApplicable,writing|voice|drawing|deferred,선택 탐구 질문 하나에 대한 실제 사용자 표현,notApplicable,"[""여러 근거·반론·장기 영향을 한 번에 요구"", ""미입력을 실패·약점으로 기록"", ""이 입력을 이야기·비교에 fallback""]",S1324-21,gutenberg.c2,extensionRecorded 제안,nuvia.age.middle-school.v1,"{""cognitiveAction"": ""선택 탐구는 PASS 핵심 활동으로 집계하지 않음"", ""allowedAnswerIds"": ""자유 표현이며 고정 정답 없음""}"
