missionId,conditionId,shortId,ageBand,ageBandRuleId,stageCount,stageOrder,predictionQuestionId,coreActivityQuestionId,historyComparisonQuestionId,predictionComparisonQuestionId,resultIdPolicy,approvalStatus,implementationStatus
gutenberg,gutenberg.c1,W24-C1,preschool,nuvia.age.preschool.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.preschool.prediction,nuvia.semantic.v1_1_r2.w24-c1.preschool.core-activity,nuvia.semantic.v1_1_r2.w24-c1.preschool.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.preschool.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c1,W24-C1,elementary-low,nuvia.age.elementary-low.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.prediction,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.core-activity,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.elementary-low.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c1,W24-C1,elementary-high,nuvia.age.elementary-high.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.prediction,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.core-activity,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.elementary-high.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c1,W24-C1,middle-school,nuvia.age.middle-school.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.middle-school.prediction,nuvia.semantic.v1_1_r2.w24-c1.middle-school.core-activity,nuvia.semantic.v1_1_r2.w24-c1.middle-school.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.middle-school.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c1,W24-C1,high-school,nuvia.age.high-school.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.high-school.prediction,nuvia.semantic.v1_1_r2.w24-c1.high-school.core-activity,nuvia.semantic.v1_1_r2.w24-c1.high-school.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.high-school.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c1,W24-C1,adult,nuvia.age.adult.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c1.adult.prediction,nuvia.semantic.v1_1_r2.w24-c1.adult.core-activity,nuvia.semantic.v1_1_r2.w24-c1.adult.history-comparison,nuvia.semantic.v1_1_r2.w24-c1.adult.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,preschool,nuvia.age.preschool.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.preschool.prediction,nuvia.semantic.v1_1_r2.w24-c2.preschool.core-activity,nuvia.semantic.v1_1_r2.w24-c2.preschool.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.preschool.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,elementary-low,nuvia.age.elementary-low.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.elementary-low.prediction,nuvia.semantic.v1_1_r2.w24-c2.elementary-low.core-activity,nuvia.semantic.v1_1_r2.w24-c2.elementary-low.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.elementary-low.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,elementary-high,nuvia.age.elementary-high.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.elementary-high.prediction,nuvia.semantic.v1_1_r2.w24-c2.elementary-high.core-activity,nuvia.semantic.v1_1_r2.w24-c2.elementary-high.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.elementary-high.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,middle-school,nuvia.age.middle-school.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.middle-school.prediction,nuvia.semantic.v1_1_r2.w24-c2.middle-school.core-activity,nuvia.semantic.v1_1_r2.w24-c2.middle-school.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.middle-school.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,high-school,nuvia.age.high-school.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.high-school.prediction,nuvia.semantic.v1_1_r2.w24-c2.high-school.core-activity,nuvia.semantic.v1_1_r2.w24-c2.high-school.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.high-school.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
gutenberg,gutenberg.c2,W24-C2,adult,nuvia.age.adult.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w24-c2.adult.prediction,nuvia.semantic.v1_1_r2.w24-c2.adult.core-activity,nuvia.semantic.v1_1_r2.w24-c2.adult.history-comparison,nuvia.semantic.v1_1_r2.w24-c2.adult.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
nuvia.history.agriculture-settlement,nuvia.history.agriculture-settlement.c1,W01-C1,preschool,nuvia.age.preschool.v1,8,conditionUnderstanding>prediction>coreActivity>alternateResult>learnerStory>historyComparison>predictionComparison>artifactLink,nuvia.semantic.v1_1_r2.w01-c1.preschool.prediction,nuvia.semantic.v1_1_r2.w01-c1.preschool.core-activity,nuvia.semantic.v1_1_r2.w01-c1.preschool.history-comparison,nuvia.semantic.v1_1_r2.w01-c1.preschool.prediction-comparison,sameResultIdRequired; noBackfill; mismatch=RESULT_LINK_ERROR,사용자 승인 완료; R2 후보,notImplemented
